"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.38666666666667,33,29.05,"clay loam",2.48524453694069,46.3464516129032,0.67741935483871
"February",1.38666666666667,33,29.05,"clay loam",3.91448275862069,31.34,3.86516129032258
"March",1.38666666666667,33,29.05,"clay loam",7.36403746097815,36.931935483871,17.2974193548387
"April",1.38666666666667,33,29.05,"clay loam",10.2112365591398,52.2764516129032,38.4603225806452
"May",1.38666666666667,33,29.05,"clay loam",14.4454214360042,50.9764516129032,78.6596774193548
"June",1.38666666666667,33,29.05,"clay loam",19.1524408602151,35.0693548387097,87.7106451612903
"July",1.38666666666667,33,29.05,"clay loam",22.2370551508845,18.2022580645161,48.0387096774194
"August",1.38666666666667,33,29.05,"clay loam",22.0389594172737,17.4867741935484,17.8535483870968
"September",1.38666666666667,33,29.05,"clay loam",17.5963870967742,31.4912903225806,12.4064516129032
"October",1.38666666666667,33,29.05,"clay loam",12.0882310093652,60.1245161290323,10.3835483870968
"November",1.38666666666667,33,29.05,"clay loam",6.34044086021505,56.3316129032258,3.41451612903226
"December",1.38666666666667,33,29.05,"clay loam",3.21072771418661,48.7477419354839,0.670645161290323
