"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",0.76625,109,18.9125,"loam",-1.98638917793965,100.492258064516,0.51
"February",0.76625,109,18.9125,"loam",-1.36286032099158,80.5151612903226,1.85161290322581
"March",0.76625,109,18.9125,"loam",2.69315296566077,88.121935483871,12.4961290322581
"April",0.76625,109,18.9125,"loam",6.86462365591398,76.9345161290323,44.6309677419355
"May",0.76625,109,18.9125,"loam",11.3768054110302,125.417419354839,100.171935483871
"June",0.76625,109,18.9125,"loam",15.0477419354839,111.984838709677,166.274193548387
"July",0.76625,109,18.9125,"loam",16.5728616024974,115.748709677419,200.826129032258
"August",0.76625,109,18.9125,"loam",16.1680853277836,103.045161290323,172.301290322581
"September",0.76625,109,18.9125,"loam",12.1617311827957,90.3025806451613,87.4303225806452
"October",0.76625,109,18.9125,"loam",7.88237252861602,102.882258064516,29.9677419354839
"November",0.76625,109,18.9125,"loam",2.6371935483871,96.9912903225806,4.91
"December",0.76625,109,18.9125,"loam",-0.885719042663892,118.93064516129,0.669032258064516
