"","BD","Carbon","ParticleSizeClay","SoilType","TS_AV","PRECTOTCORR_AV","EVPTRNS_AV"
"January",1.15833333333333,54,13,"loam",-0.170218522372529,69.6903225806452,0.0212903225806452
"February",1.15833333333333,54,13,"loam",0.0468464961067853,55.5783870967742,0.0216129032258065
"March",1.15833333333333,54,13,"loam",2.49363163371488,53.1790322580645,0.602258064516129
"April",1.15833333333333,54,13,"loam",6.75874193548387,47.8777419354839,11.03
"May",1.15833333333333,54,13,"loam",11.2853590010406,59.6770967741936,53.2970967741935
"June",1.15833333333333,54,13,"loam",14.6497311827957,75.0087096774194,102.922903225806
"July",1.15833333333333,54,13,"loam",16.9122476586889,76.8425806451613,121.730322580645
"August",1.15833333333333,54,13,"loam",16.4889386056191,82.3267741935484,81.5161290322581
"September",1.15833333333333,54,13,"loam",12.9736774193548,77.3493548387097,31.2712903225806
"October",1.15833333333333,54,13,"loam",8.33151925078044,90.5022580645161,5.00483870967742
"November",1.15833333333333,54,13,"loam",4.09506451612903,77.201935483871,0.125483870967742
"December",1.15833333333333,54,13,"loam",0.987311134235172,75.0061290322581,0.0203225806451613
